textID,text,selected_text,sentiment
20951ebfde, While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it!,While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it,0
e283379cad,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,hates the net.,-1
8ba644c9bd, The devil you say!  I`ve been waiting for the Black Widow in movies and now she won`t be awesome at all.,w she won`t be awesome at all,-1
0bc3d2ce9f,"Im feeling so nostalgic. Im sad. But happy. I don`t now how to feel. It`s over, but not at the same time. It just feels over.  i love you.",love,1
e316d2f54b,_in_NH night bud,_in_NH night bud,0
57d554e002,time for work!,time for work!,0
35d95a6bfa,http://twitpic.com/4wqfv - dark berry mocha frapp.. heaven.. TRY IT EVERYONE!!  here.. let me pass it to you,dark berry mocha frapp.. heaven.. TRY IT EVERYONE!!  here.. let me pass it to you,1
a2f6c5cca9,"Playing with the munchkin today, talking cakes and getting ready for a yard sale tomorrow. Not looking forward to that",Not looking forward to that,-1
dcacc9ef8f,They just layed off 23 teachers in the city near me  I wonder if I should be thinking about not going into that jobfield...,They just layed off 23 teachers in the city near me  I wonder if I should be thinking about not going into that jobfield...,0
e668df7ceb,  I hope you have a nice sleep,a nice,1
